Iteration,Epoch,Val_Acc,Val_AUC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,298,0.875,0.852885375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,77,0.86625,0.847812912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,60,0.8625,0.855955204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,15,0.8675,0.847272727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,43,0.8725,0.850144928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,28,0.8775,0.841264822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,24,0.8875,0.848814229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,53,0.86875,0.851370224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,103,0.87625,0.85673913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,76,0.8625,0.830092227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,6,0.87125,0.843636364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,44,0.87,0.839894598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,40,0.875,0.847641634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,140,0.84875,0.829986825,,,,,,,,,,Epoch,298,77,60,15,43,28,24,53,103,76,6,44,40,140,42,98,53,43,121,141,53,124,107,185,83,151,85,271,148,44,163
15,42,0.855,0.832220026,,,,,,,,,,Val_Acc,0.875,0.86625,0.8625,0.8675,0.8725,0.8775,0.8875,0.86875,0.87625,0.8625,0.87125,0.87,0.875,0.84875,0.855,0.85375,0.8825,0.87,0.84875,0.87625,0.87375,0.87375,0.86125,0.86875,0.87125,0.87875,0.8825,0.88625,0.875,0.8775,0.8675
16,98,0.85375,0.827220026,,,,,,,,,,Val_AUC,0.852885375,0.847812912,0.855955204,0.847272727,0.850144928,0.841264822,0.848814229,0.851370224,0.85673913,0.830092227,0.843636364,0.839894598,0.847641634,0.829986825,0.832220026,0.827220026,0.85240448,0.849288538,0.844426877,0.855625823,0.851093544,0.8428722,0.826139657,0.842476943,0.863583663,0.855731225,0.847391304,0.849104084,0.85400527,0.859249012,0.838748353
17,53,0.8825,0.85240448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,43,0.87,0.849288538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,121,0.84875,0.844426877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,141,0.87625,0.855625823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,53,0.87375,0.851093544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,124,0.87375,0.8428722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,107,0.86125,0.826139657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,185,0.86875,0.842476943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,83,0.87125,0.863583663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,151,0.87875,0.855731225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,85,0.8825,0.847391304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,271,0.88625,0.849104084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,148,0.875,0.85400527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,44,0.8775,0.859249012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,163,0.8675,0.838748353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
